period;cmd;country;nb_edges;nb_edges_country;traded_value_exp;traded_value_imp;traded_value_exp_country;traded_value_imp_country;contrib_nb_edges;contrib_trade_value_exp;contrib_trade_value_imp
1996;12;Central African Rep.;1739;10;6032543317.0;10214764336.0;3870630.0;5011986.0;0.005750431282346176;0.0006416248995829631;0.0004906609526307138
1996;12;Chile;1739;28;6032543317.0;10214764336.0;115632820.0;170546824.0;0.016101207590569294;0.01916817069081644;0.016696109512672756
1996;12;China;1739;66;6032543317.0;10214764336.0;238432330.0;499168991.0;0.03795284646348476;0.03952434611254031;0.048867401594452214
1996;12;China, Hong Kong SAR;1739;53;6032543317.0;10214764336.0;157647740.0;152270378.0;0.030477285796434734;0.02613288155855276;0.014906890946407047
1996;12;China, Macao SAR;1739;9;6032543317.0;10214764336.0;4899189.0;753935.0;0.005175388154111558;0.0008121266176728225;0.0000738083596645396
1996;12;Christmas Isds;1739;1;6032543317.0;10214764336.0;8793.0;0.0;0.0005750431282346176;1.457594175116969e-6;0.0
1996;12;Cocos Isds;1739;1;6032543317.0;10214764336.0;5483.0;0.0;0.0005750431282346176;9.089035439743366e-7;0.0
1996;12;Colombia;1739;15;6032543317.0;10214764336.0;612634.0;795627.0;0.008625646923519264;0.00010155484474907418;0.00007788990267704596
1996;12;Comoros;1739;1;6032543317.0;10214764336.0;0.0;15155.0;0.0005750431282346176;0.0;1.4836367733506172e-6
1996;12;Congo;1739;20;6032543317.0;10214764336.0;0.0;89598020.0;0.011500862564692352;0.0;0.008771423113916467
1996;12;Cook Isds;1739;1;6032543317.0;10214764336.0;0.0;859.0;0.0005750431282346176;0.0;8.409396161716794e-8
1996;12;Costa Rica;1739;10;6032543317.0;10214764336.0;170041.0;331474.0;0.005750431282346176;0.00002818728205743939;0.00003245047943316546
1996;12;Croatia;1739;21;6032543317.0;10214764336.0;23385484.0;27991516.0;0.012075905692926969;0.0038765546753885;0.002740299734703542
1996;12;Cuba;1739;3;6032543317.0;10214764336.0;113272.0;37000.0;0.0017251293847038527;0.000018776823314437545;3.6222078927068846e-6
1996;12;Cyprus;1739;9;6032543317.0;10214764336.0;404514.0;2726262.0;0.005175388154111558;0.00006705529968762262;0.0002668942630807259
1996;12;Czechia;1739;49;6032543317.0;10214764336.0;142368001.0;143067550.0;0.02817711328349626;0.023599996472267355;0.014005956994600997
1996;12;Côte d'Ivoire;1739;28;6032543317.0;10214764336.0;866214.0;67889028.0;0.016101207590569294;0.0001435901831917173;0.006646166839183749
1996;12;Dem. People's Rep. of Korea;1739;4;6032543317.0;10214764336.0;4169939.0;17546600.0;0.0023001725129384704;0.0006912406228810507;0.0017177684597343413
1996;12;Dem. Rep. of the Congo;1739;23;6032543317.0;10214764336.0;0.0;47784230.0;0.013225991949396205;0.0;0.0046779571635924624
1996;12;Denmark;1739;61;6032543317.0;10214764336.0;41924936.0;74306954.0;0.035077630822311676;0.006949794439412228;0.007274465817886687
1996;12;Djibouti;1739;2;6032543317.0;10214764336.0;41823.0;3820.0;0.0011500862564692352;6.9328967571837826e-6;3.739684905443324e-7
1996;12;Dominica;1739;3;6032543317.0;10214764336.0;3931.0;46097.0;0.0017251293847038527;6.516322873177307e-7;4.51278154675971e-6
1996;12;Dominican Rep.;1739;3;6032543317.0;10214764336.0;4550802.0;0.0;0.0017251293847038527;0.0007543753539532189;0.0
1996;12;Ecuador;1739;16;6032543317.0;10214764336.0;4779679.0;13586701.0;0.009200690051753882;0.0007923157363048902;0.0013301042053526627
1996;12;Egypt;1739;18;6032543317.0;10214764336.0;15381678.0;48989620.0;0.010350776308223116;0.0025497832658165397;0.00479596184391111
1996;12;El Salvador;1739;7;6032543317.0;10214764336.0;1708370.0;31924.0;0.0040253018976423235;0.00028319233037013265;3.1252801288317456e-6
1996;12;Equatorial Guinea;1739;14;6032543317.0;10214764336.0;0.0;58122244.0;0.008050603795284647;0.0;0.005690022998882037
1996;12;Eritrea;1739;2;6032543317.0;10214764336.0;14150.0;0.0;0.0011500862564692352;2.3456110062441843e-6;0.0
1996;12;Estonia;1739;32;6032543317.0;10214764336.0;59438942.0;99794882.0;0.018401380103507763;0.009853048519767472;0.009769670519787898
1996;12;Ethiopia;1739;1;6032543317.0;10214764336.0;76671.0;0.0;0.0005750431282346176;0.000012709564767473347;0.0
1996;12;FS Micronesia;1739;1;6032543317.0;10214764336.0;32020.0;0.0;0.0005750431282346176;5.307877344165285e-6;0.0
1996;12;Faroe Isds;1739;11;6032543317.0;10214764336.0;301436.0;345003.0;0.0063254744105807935;0.000049968310903054556;0.0000337749348542582
1996;12;Fiji;1739;4;6032543317.0;10214764336.0;0.0;222975.0;0.0023001725129384704;0.0;0.000021828697429089664
1996;12;Finland;1739;57;6032543317.0;10214764336.0;333275732.0;416427084.0;0.0327774583093732;0.055246305660302975;0.04076717487572197
1996;12;France;1739;106;6032543317.0;10214764336.0;344792261.0;615315572.0;0.06095457159286947;0.057155372598545404;0.06023786274064463
1996;12;French Polynesia;1739;3;6032543317.0;10214764336.0;93011.0;362310.0;0.0017251293847038527;0.000015418206735107976;0.000035469247070449497
