period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;net_wgt_exp;net_wgt_imp;exp_share;imp_share;primary_value_per_partner_exp;primary_value_per_partner_imp;net_wgt_per_partner_exp;net_wgt_per_partner_imp
1996;01;Comoros;0;1;0.0;15155.0;0.0;7187.0;0.0;1.0;;15155.0;;7187.0
1996;01;Congo;20;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Cook Isds;1;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Costa Rica;5;5;1017.0;249778.0;20207.0;22028082.0;0.004055104766841444;0.9959448952331585;203.4;49955.6;4041.4;4405616.4
1996;01;Croatia;11;10;22222641.0;2263539.0;194274000.0;22589000.0;0.9075585085137821;0.09244149148621794;2020240.0909090908;226353.9;17661272.727272727;2258900.0
1996;01;Cuba;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Cyprus;1;8;0.0;678642.0;0.0;2245500.0;0.0;1.0;0.0;84830.25;0.0;280687.5
1996;01;Czechia;27;22;133234623.0;13504999.0;1674716976.0;120297375.0;0.907966241047016;0.09203375895298409;4934615.666666667;613863.5909090909;62026554.666666664;5468062.5
1996;01;Côte d'Ivoire;25;3;0.0;1299.0;0.0;15562.0;0.0;1.0;0.0;433.0;0.0;5187.333333333333
1996;01;Dem. People's Rep. of Korea;2;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Dem. Rep. of the Congo;23;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Denmark;30;31;22862417.0;48509485.0;166214607.0;450904539.0;0.3203279772479652;0.6796720227520349;762080.5666666667;1564822.0967741935;5540486.9;14545307.709677419
1996;01;Djibouti;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Dominica;0;3;0.0;46097.0;0.0;55163.0;0.0;1.0;;15365.666666666666;;18387.666666666668
1996;01;Dominican Rep.;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Ecuador;14;2;4702281.0;0.0;26986459.0;0.0;1.0;0.0;335877.21428571426;0.0;1927604.2142857143;0.0
1996;01;Egypt;0;18;0.0;48989620.0;0.0;188782048.0;0.0;1.0;;2721645.5555555555;;10487891.555555556
1996;01;El Salvador;2;5;0.0;14698.0;0.0;46823.0;0.0;1.0;0.0;2939.6;0.0;9364.6
1996;01;Equatorial Guinea;14;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Eritrea;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Estonia;24;8;56108283.0;2295424.0;1249298579.0;37310426.0;0.9606972893004891;0.039302710699510905;2337845.125;286928.0;52054107.458333336;4663803.25
1996;01;Ethiopia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;FS Micronesia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Faroe Isds;0;11;0.0;345003.0;0.0;505958.0;0.0;1.0;;31363.909090909092;;45996.181818181816
1996;01;Fiji;4;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Finland;34;23;63507113.0;311360657.0;442888111.0;6021007508.0;0.16941203827685694;0.8305879617231431;1867856.2647058824;13537419.869565217;13026120.911764706;261782935.13043478
1996;01;France;48;58;271438685.0;266443950.0;1503110083.0;1156840595.0;0.5046429598903114;0.4953570401096886;5654972.604166667;4593861.206896552;31314793.395833332;19945527.5
1996;01;French Polynesia;1;2;0.0;23211.0;0.0;5812.0;0.0;1.0;0.0;11605.5;0.0;2906.0
1996;01;Gabon;29;3;65733701.0;0.0;417797464.0;0.0;1.0;0.0;2266679.3448275863;0.0;14406809.103448275;0.0
1996;01;Gambia;0;10;0.0;558949.0;0.0;1093541.0;0.0;1.0;;55894.9;;109354.1
1996;01;Georgia;2;0;1866897.0;0.0;18801035.0;0.0;1.0;0.0;933448.5;;9400517.5;
1996;01;Germany;58;63;213264563.0;204300038.0;2359584773.0;1003385553.0;0.5107342971345409;0.4892657028654591;3676975.224137931;3242857.746031746;40682496.0862069;15926754.80952381
1996;01;Ghana;28;1;1982986.0;0.0;4282884.0;0.0;1.0;0.0;70820.92857142857;0.0;152960.14285714287;0.0
1996;01;Greece;11;27;3175587.0;44066242.0;3730984.0;188363748.0;0.06721981488057967;0.9327801851194203;288689.7272727273;1632083.037037037;339180.36363636365;6976435.111111111
1996;01;Greenland;0;3;0.0;512453.0;0.0;525428.0;0.0;1.0;;170817.66666666666;;175142.66666666666
1996;01;Grenada;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Guatemala;7;3;342965.0;21269.0;871713.0;47187.0;0.9416062201771389;0.058393779822861126;48995.0;7089.666666666667;124530.42857142857;15729.0
1996;01;Guinea;8;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Guinea-Bissau;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Guyana;8;3;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Haiti;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Honduras;26;4;14954613.0;118717.0;14222396.0;290979.0;0.9921240362945679;0.007875963705432044;575177.4230769231;29679.25;547015.2307692308;72744.75
1996;01;Hungary;17;17;52466000.0;14215000.0;801596178.0;175937024.0;0.786820833520793;0.21317916647920698;3086235.294117647;836176.4705882353;47152716.35294118;10349236.705882354
1996;01;Iceland;1;10;0.0;216684.0;0.0;876729.0;0.0;1.0;0.0;21668.4;0.0;87672.9
1996;01;India;14;47;1678422.0;244433287.0;5841750.0;645572624.0;0.006819756795886538;0.9931802432041135;119887.28571428571;5200708.234042553;417267.85714285716;13735587.744680852
1996;01;Indonesia;18;22;0.0;48322213.0;0.0;121593779.0;0.0;1.0;0.0;2196464.227272727;0.0;5526989.954545454
1996;01;Iran;2;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Ireland;7;21;13939633.0;14549645.0;279644083.0;28295586.0;0.48929400738060125;0.5107059926193988;1991376.142857143;692840.2380952381;39949154.71428572;1347408.857142857
1996;01;Israel;1;13;0.0;25109000.0;0.0;0.0;0.0;1.0;0.0;1931461.5384615385;0.0;0.0
1996;01;Italy;33;65;3663721.0;611089206.0;5349061.0;3836636617.0;0.005959664182290262;0.9940403358177098;111021.84848484848;9401372.4;162092.75757575757;59025178.723076925
1996;01;Jamaica;1;3;0.0;650285.0;0.0;1022300.0;0.0;1.0;0.0;216761.66666666666;0.0;340766.6666666667
1996;01;Japan;14;59;2897019.0;4418502709.0;6316647.0;15177180379.0;0.0006552266653597623;0.9993447733346402;206929.92857142858;74889876.42372881;451189.0714285714;257240345.40677965
1996;01;Jordan;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Kazakhstan;3;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Kenya;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Kiribati;0;4;0.0;31102.0;0.0;76375.0;0.0;1.0;;7775.5;;19093.75
1996;01;Kuwait;1;6;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Kyrgyzstan;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Lao People's Dem. Rep.;5;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Latvia;21;8;48754106.0;2953768.0;1286770919.0;9281649.0;0.942875856779569;0.057124143220430995;2321624.095238095;369221.0;61274805.666666664;1160206.125
1996;01;Lebanon;2;4;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Liberia;6;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Libya;0;4;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Lithuania;24;7;23045488.0;573195.0;676466382.0;13109226.0;0.9757312886582202;0.024268711341779724;960228.6666666666;81885.0;28186099.25;1872746.5714285714
1996;01;Madagascar;11;0;31265.0;0.0;71667.0;0.0;1.0;0.0;2842.2727272727275;;6515.181818181818;
1996;01;Malawi;2;0;6428.0;0.0;1375.0;0.0;1.0;0.0;3214.0;;687.5;
1996;01;Malaysia;29;21;347318525.0;22063204.0;2164946588.0;335424213.0;0.9402699097767232;0.059730090223276855;11976500.862068966;1050628.761904762;74653330.62068966;15972581.57142857
1996;01;Maldives;0;1;0.0;873.0;0.0;2000.0;0.0;1.0;;873.0;;2000.0
1996;01;Mali;1;1;0.0;163275.0;0.0;204046.0;0.0;1.0;0.0;163275.0;0.0;204046.0
1996;01;Malta;3;23;4674.0;4293506.0;0.0;508712409.0;0.0010874370082220846;0.9989125629917779;1558.0;186674.1739130435;0.0;22117930.826086957
1996;01;Mauritania;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Mauritius;0;6;0.0;314489.0;0.0;265295.0;0.0;1.0;;52414.833333333336;;44215.833333333336
1996;01;Mexico;11;4;1002540.0;5287616.0;6308770.0;12859447.0;0.15938237461837196;0.8406176253816281;91140.0;1321904.0;573524.5454545454;3214861.75
1996;01;Mongolia;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Morocco;6;18;20386.0;24658577.0;23218.0;206132037.0;0.0008260476746936246;0.9991739523253064;3397.6666666666665;1369920.9444444445;3869.6666666666665;11451779.833333334
1996;01;Mozambique;9;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Myanmar;23;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Nepal;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Netherlands;27;43;12852747.0;48256823.0;220319958.0;320575812.0;0.21032298214502246;0.7896770178549776;476027.6666666667;1122251.6976744186;8159998.444444444;7455251.441860465
1996;01;Netherlands Antilles (...2010);1;4;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;New Caledonia;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;New Zealand;15;10;448879731.0;738496.0;3856909035.0;1114224.0;0.9983575043099843;0.0016424956900156986;29925315.4;73849.6;257127269.0;111422.4
1996;01;Nicaragua;5;1;8058.0;0.0;23375.0;0.0;1.0;0.0;1611.6;0.0;4675.0;0.0
1996;01;Niger;0;3;0.0;80520.0;0.0;153901.0;0.0;1.0;;26840.0;;51300.333333333336
1996;01;Nigeria;15;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Norfolk Isds;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;North Macedonia;6;7;359514.0;234694.0;2629822.0;1545645.0;0.6050305616888362;0.39496943831116377;59919.0;33527.71428571428;438303.6666666667;220806.42857142858
1996;01;Norway;15;23;21534549.0;159595417.0;279243187.0;1913712871.0;0.11889004053586583;0.8811099594641342;1435636.6;6938931.173913044;18616212.466666665;83204907.43478261
1996;01;Oman;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Pakistan;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Palau;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Panama;4;5;37149.0;1410240.0;1329687.0;3695440.0;0.025666216891243473;0.9743337831087565;9287.25;282048.0;332421.75;739088.0
1996;01;Papua New Guinea;11;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Paraguay;7;1;222689.0;0.0;3163179.0;0.0;1.0;0.0;31812.714285714286;0.0;451882.71428571426;0.0
1996;01;Peru;4;4;0.0;154531.0;0.0;784702.0;0.0;1.0;0.0;38632.75;0.0;196175.5
1996;01;Philippines;7;23;0.0;113442869.0;0.0;680728128.0;0.0;1.0;0.0;4932298.652173913;0.0;29596875.13043478
1996;01;Poland;22;18;18283000.0;21599000.0;158331774.0;307271159.0;0.4584273607141066;0.5415726392858934;831045.4545454546;1199944.4444444445;7196898.818181818;17070619.944444444
1996;01;Portugal;12;32;33505088.0;162843846.0;432758809.0;822989516.0;0.17064053935734635;0.8293594606426536;2792090.6666666665;5088870.1875;36063234.083333336;25718422.375
1996;01;Qatar;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Rep. of Korea;7;33;146689.0;952150530.0;115765.0;7153056337.0;0.00015403699294012116;0.9998459630070599;20955.571428571428;28853046.363636363;16537.85714285714;216759282.93939394
1996;01;Rep. of Moldova;4;3;13561.0;1316442.0;94375.0;16137850.0;0.010196217602516686;0.9898037823974833;3390.25;438814.0;23593.75;5379283.333333333
1996;01;Romania;12;10;0.0;4848000.0;0.0;50619000.0;0.0;1.0;0.0;484800.0;0.0;5061900.0
1996;01;Russian Federation;51;13;943867704.0;9410018.0;12856483469.0;367542447.0;0.9901287759245464;0.009871224075453638;18507209.88235294;723847.5384615385;252087911.15686274;28272495.923076924
1996;01;Rwanda;0;1;0.0;2000.0;0.0;20000.0;0.0;1.0;;2000.0;;20000.0
1996;01;Saint Kitts and Nevis;0;1;0.0;17836.0;0.0;14437.0;0.0;1.0;;17836.0;;14437.0
1996;01;Saint Lucia;0;2;0.0;10444.0;0.0;29034.0;0.0;1.0;;5222.0;;14517.0
1996;01;Saint Pierre and Miquelon;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Saint Vincent and the Grenadines;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Samoa;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Saudi Arabia;8;11;186554.0;2255022.0;649489.0;3031452.0;0.076407205837541;0.923592794162459;23319.25;205002.0;81186.125;275586.54545454547
1996;01;Senegal;3;7;0.0;4530326.0;0.0;12861527.0;0.0;1.0;0.0;647189.4285714285;0.0;1837361.0
1996;01;Serbia and Montenegro (...2005);8;12;2794000.0;11632000.0;12546000.0;123654222.0;0.1936780812422016;0.8063219187577985;349250.0;969333.3333333334;1568250.0;10304518.5
1996;01;Sierra Leone;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Singapore;21;27;2825704.0;5072213.0;3057022.0;6220278.0;0.35777838637706627;0.6422216136229337;134557.33333333334;187859.74074074073;145572.47619047618;230380.66666666666
