period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;net_wgt_exp;net_wgt_imp;exp_share;imp_share;primary_value_per_partner_exp;primary_value_per_partner_imp;net_wgt_per_partner_exp;net_wgt_per_partner_imp
1996;01;Côte d'Ivoire;11;3;0.0;1299.0;0.0;15562.0;0.0;1.0;0.0;433.0;0.0;5187.333333333333
1996;01;Dem. People's Rep. of Korea;2;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Dem. Rep. of the Congo;13;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Djibouti;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Dominica;0;3;0.0;46097.0;0.0;55163.0;0.0;1.0;;15365.666666666666;;18387.666666666668
1996;01;Dominican Rep.;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Ecuador;9;2;4702281.0;0.0;26986459.0;0.0;1.0;0.0;522475.6666666667;0.0;2998495.4444444445;0.0
1996;01;Egypt;0;7;0.0;48989620.0;0.0;188782048.0;0.0;1.0;;6998517.142857143;;26968864.0
1996;01;El Salvador;2;5;0.0;14698.0;0.0;46823.0;0.0;1.0;0.0;2939.6;0.0;9364.6
1996;01;Equatorial Guinea;6;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Eritrea;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Ethiopia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;European Union;79;81;209671919.0;1343655687.0;2358450763.0;11622423954.0;0.13498241979998649;0.8650175802000135;2654074.924050633;16588341.814814815;29853807.12658228;143486715.4814815
1996;01;FS Micronesia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Faroe Isds;0;5;0.0;345003.0;0.0;505958.0;0.0;1.0;;69000.6;;101191.6
1996;01;Fiji;4;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;French Polynesia;1;2;0.0;23211.0;0.0;5812.0;0.0;1.0;0.0;11605.5;0.0;2906.0
1996;01;Gabon;19;3;65733701.0;0.0;417797464.0;0.0;1.0;0.0;3459668.4736842103;0.0;21989340.210526317;0.0
1996;01;Gambia;0;7;0.0;558949.0;0.0;1093541.0;0.0;1.0;;79849.85714285714;;156220.14285714287
1996;01;Georgia;2;0;1866897.0;0.0;18801035.0;0.0;1.0;0.0;933448.5;;9400517.5;
1996;01;Ghana;18;1;1982986.0;0.0;4282884.0;0.0;1.0;0.0;110165.88888888889;0.0;237938.0;0.0
1996;01;Greenland;0;2;0.0;512453.0;0.0;525428.0;0.0;1.0;;256226.5;;262714.0
1996;01;Grenada;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Guatemala;7;3;342965.0;21269.0;871713.0;47187.0;0.9416062201771389;0.058393779822861126;48995.0;7089.666666666667;124530.42857142857;15729.0
1996;01;Guinea;4;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Guinea-Bissau;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Guyana;6;3;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Haiti;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Honduras;16;4;14954613.0;118717.0;14222396.0;290979.0;0.9921240362945679;0.007875963705432044;934663.3125;29679.25;888899.75;72744.75
1996;01;Iceland;1;4;0.0;216684.0;0.0;876729.0;0.0;1.0;0.0;54171.0;0.0;219182.25
1996;01;India;12;37;1678422.0;244433287.0;5841750.0;645572624.0;0.006819756795886538;0.9931802432041135;139868.5;6606305.054054054;486812.5;17447908.756756756
1996;01;Indonesia;14;15;0.0;48322213.0;0.0;121593779.0;0.0;1.0;0.0;3221480.8666666667;0.0;8106251.933333334
1996;01;Iran;2;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Israel;1;6;0.0;25109000.0;0.0;0.0;0.0;1.0;0.0;4184833.3333333335;0.0;0.0
1996;01;Jamaica;1;3;0.0;650285.0;0.0;1022300.0;0.0;1.0;0.0;216761.66666666666;0.0;340766.6666666667
1996;01;Japan;13;47;2897019.0;4418502709.0;6316647.0;15177180379.0;0.0006552266653597623;0.9993447733346402;222847.61538461538;94010695.9361702;485895.92307692306;322918731.4680851
1996;01;Jordan;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Kazakhstan;3;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Kenya;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Kiribati;0;4;0.0;31102.0;0.0;76375.0;0.0;1.0;;7775.5;;19093.75
1996;01;Kuwait;1;5;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Kyrgyzstan;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Lao People's Dem. Rep.;5;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Lebanon;2;3;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Liberia;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Libya;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Madagascar;7;0;31265.0;0.0;71667.0;0.0;1.0;0.0;4466.428571428572;;10238.142857142857;
1996;01;Malawi;2;0;6428.0;0.0;1375.0;0.0;1.0;0.0;3214.0;;687.5;
1996;01;Malaysia;22;17;347318525.0;22063204.0;2164946588.0;335424213.0;0.9402699097767232;0.059730090223276855;15787205.681818182;1297835.5294117648;98406663.0909091;19730836.05882353
1996;01;Maldives;0;1;0.0;873.0;0.0;2000.0;0.0;1.0;;873.0;;2000.0
1996;01;Mali;1;1;0.0;163275.0;0.0;204046.0;0.0;1.0;0.0;163275.0;0.0;204046.0
1996;01;Mauritania;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Mauritius;0;6;0.0;314489.0;0.0;265295.0;0.0;1.0;;52414.833333333336;;44215.833333333336
1996;01;Mexico;10;4;1002540.0;5287616.0;6308770.0;12859447.0;0.15938237461837196;0.8406176253816281;100254.0;1321904.0;630877.0;3214861.75
1996;01;Mongolia;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
